id,manufacturer,model,aliases,dragonframe_supported,sensor_width_mm,sensor_height_mm,dimension_status,provenance_method,confidence,verification_status,source_note,source_url,coverage_class
sony_alpha_a9,Sony,Alpha A9,,True,35.6,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a9_ii,Sony,Alpha A9 II,,True,35.6,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a9_iii,Sony,Alpha A9 III,,True,35.6,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7,Sony,Alpha A7,,True,35.8,23.9,complete,published,confirmed,primary_source_verified,Sony specifications,https://www.sony.com/electronics/support/e-mount-body-ilce-7-series/ilce-7/specifications,physical_camera
sony_alpha_a7_ii,Sony,Alpha A7 II,,True,35.8,23.9,complete,published,confirmed,primary_source_verified,Sony specifications,https://www.sony.com/electronics/support/e-mount-body-ilce-7-series/ilce-7m2/specifications,physical_camera
sony_alpha_a7_iii,Sony,Alpha A7 III,,True,35.6,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7_iv,Sony,Alpha A7 IV,,True,35.9,23.9,complete,published,confirmed,primary_source_verified_previous_pass,Sony specifications,https://www.sony.com/electronics/support/e-mount-body-ilce-7-series/ilce-7m4/specifications,physical_camera
sony_alpha_a7_v,Sony,Alpha A7 V,,True,35.9,23.9,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7r,Sony,Alpha A7R,,True,35.9,24.0,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7r_ii,Sony,Alpha A7R II,,True,35.9,24.0,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7r_iii,Sony,Alpha A7R III,,True,35.9,24.0,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7r_iiia,Sony,Alpha A7R IIIA,,True,35.9,24.0,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7r_iv,Sony,Alpha A7R IV,,True,35.7,23.8,complete,published,confirmed,primary_source_verified_previous_pass,Sony specifications,,physical_camera
sony_alpha_a7r_iva,Sony,Alpha A7R IVA,,True,35.7,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7r_v,Sony,Alpha A7R V,,True,35.7,23.8,complete,published,confirmed,primary_source_verified_previous_pass,Sony specifications,,physical_camera
sony_alpha_a7s,Sony,Alpha A7S,,True,35.6,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7s_ii,Sony,Alpha A7S II,,True,35.6,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7s_iii,Sony,Alpha A7S III,,True,35.6,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7c,Sony,Alpha A7C,,True,35.6,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7c_ii,Sony,Alpha A7C II,,True,35.9,23.9,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a7cr,Sony,Alpha A7CR,,True,35.7,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a77_ii,Sony,Alpha A77 II,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a99_ii,Sony,Alpha A99 II,,True,35.9,24.0,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a5000,Sony,Alpha A5000,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a5100,Sony,Alpha A5100,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a6000,Sony,Alpha A6000,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a6100,Sony,Alpha A6100,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a6300,Sony,Alpha A6300,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a6400,Sony,Alpha A6400,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a6500,Sony,Alpha A6500,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a6600,Sony,Alpha A6600,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_alpha_a6700,Sony,Alpha A6700,,True,23.3,15.5,complete,published,confirmed,primary_source_verified_previous_pass,Sony specifications,https://www.sony.com/electronics/support/e-mount-body-ilce-6000-series/ilce-6700/specifications,physical_camera
sony_ilx_lr1,Sony,ILX-LR1,,True,35.9,23.9,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_zv_e1,Sony,ZV-E1,,True,35.6,23.8,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_zv_e10,Sony,ZV-E10,,True,23.5,15.6,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
sony_zv_e10_ii,Sony,ZV-E10 II,,True,23.3,15.5,complete,published,confirmed,compiled_spec_value,Sony specifications,,physical_camera
z_cam_e2,Z CAM,E2,,True,17.3,13.0,complete,published,confirmed,compiled_spec_value,Z CAM specifications,,physical_camera
arri_alexa_mini,ARRI,ALEXA Mini,,True,28.17,18.13,complete,published,confirmed,compiled_spec_value,ARRI ALEV III sensor specifications,,physical_camera
arri_alexa_mini_lf,ARRI,ALEXA Mini LF,,True,36.7,25.54,complete,published,confirmed,primary_source_verified,ARRI ALEV 3 A2X specifications,https://www.arri.com/en/camera-systems/cameras/alexa-mini-lf,physical_camera
arri_alexa_lf,ARRI,ALEXA LF,,True,36.7,25.54,complete,published,confirmed,compiled_spec_value,ARRI ALEV 3 A2X specifications,,physical_camera
arri_alexa_35,ARRI,ALEXA 35,,True,27.99,19.22,complete,published,confirmed,compiled_spec_value,ARRI ALEV 4 specifications,,physical_camera
arri_alexa_35_xtreme,ARRI,ALEXA 35 Xtreme,,True,27.99,19.22,complete,published,confirmed,compiled_spec_value,ARRI ALEV 4 specifications,,physical_camera
arri_sxt,ARRI,SXT,,True,28.17,18.13,complete,published,confirmed,compiled_spec_value,ARRI ALEV III sensor specifications,,physical_camera
arri_amira,ARRI,AMIRA,,True,28.17,18.13,complete,published,confirmed,compiled_spec_value,ARRI ALEV III sensor specifications,,physical_camera
red_dsmc2,RED,DSMC2,,True,,,platform_multiple_sensor_options,unresolved,unresolved,not_single_resolvable_sensor,"DSMC2 is a camera platform; RED offered DRAGON, HELIUM, GEMINI, MONSTRO and other sensor variants.",,physical_camera
blackmagic_cinema_camera_thunderbolt,Blackmagic,Cinema Camera (Thunderbolt),,True,15.81,8.88,complete,published,confirmed,compiled_spec_value,Blackmagic Cinema Camera 2.5K specifications,,physical_camera
blackmagic_cinema_camera_6k,Blackmagic,Cinema Camera 6K,,True,36.0,24.0,complete,published,confirmed,primary_source_verified,Blackmagic Design specifications,https://www.blackmagicdesign.com/products/blackmagiccinemacamera/techspecs,physical_camera
blackmagic_production_camera_4k_thunderbolt,Blackmagic,Production Camera 4K (Thunderbolt),,True,21.12,11.88,complete,published,confirmed,compiled_spec_value,Blackmagic Production Camera 4K specifications,,physical_camera
logitech_brio,Logitech,BRIO,,True,6.4,4.8,complete,inferred,provisional,inferred_from_published_sensor_class,1/2-inch sensor class; dimensions inferred from optical format,,physical_camera
logitech_brio_4k,Logitech,BRIO 4K,,True,6.4,4.8,complete,inferred,provisional,inferred_from_published_sensor_class,1/2-inch sensor class; dimensions inferred from optical format,,physical_camera
logitech_c920,Logitech,C920,,True,4.8,3.6,complete,inferred,provisional,inferred_from_published_sensor_class,1/3-inch sensor class; dimensions inferred from optical format,,physical_camera
logitech_c922,Logitech,C922,,True,4.8,3.6,complete,inferred,provisional,inferred_from_published_sensor_class,1/3-inch sensor class; dimensions inferred from optical format,,physical_camera
logitech_c930,Logitech,C930,,True,4.8,3.6,complete,inferred,provisional,inferred_from_published_sensor_class,1/3-inch sensor class; dimensions inferred from optical format,,physical_camera
