record_id,record_class,manufacturer,device_model,device_variant,module_role,sensor_model,sensor_width_mm,sensor_height_mm,sensor_diagonal_mm,source_observation,provenance_method,evidence_tier,lcrd_status,tps_use,original_confidence,original_verification_status,source_title,source_url,usage_note,qa_flags,notes,coverage_priority,cutoff_reason,cutoff_note,audit_priority,qa_pass4_flags,freeze_qa_flags,v0_1_release_status
nikon_d200,dedicated_camera,Nikon,D200,,main,,23.6,15.8,28.4007,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d2x,dedicated_camera,Nikon,D2X,,main,,23.7,15.7,28.4285,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d3,dedicated_camera,Nikon,D3,,main,,36.0,23.9,43.2112,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d300,dedicated_camera,Nikon,D300,,main,,23.6,15.8,28.4007,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d300s,dedicated_camera,Nikon,D300S,,main,,23.6,15.8,28.4007,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d3200,dedicated_camera,Nikon,D3200,,main,,23.2,15.4,27.846,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d3300,dedicated_camera,Nikon,D3300,,main,,23.5,15.6,28.2066,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d3400,dedicated_camera,Nikon,D3400,,main,,23.5,15.6,28.2066,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d3500,dedicated_camera,Nikon,D3500,,main,,23.5,15.6,28.2066,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d3s,dedicated_camera,Nikon,D3S,,main,,36.0,23.9,43.2112,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d3x,dedicated_camera,Nikon,D3X,,main,,35.9,24.0,43.1834,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d4,dedicated_camera,Nikon,D4,,main,,36.0,23.9,43.2112,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d40,dedicated_camera,Nikon,D40,,main,,23.7,15.6,28.3734,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d40x,dedicated_camera,Nikon,D40X,,main,,23.6,15.8,28.4007,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d4s,dedicated_camera,Nikon,D4S,,main,,36.0,23.9,43.2112,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d5,dedicated_camera,Nikon,D5,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d50,dedicated_camera,Nikon,D50,,main,,23.7,15.6,28.3734,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d500,dedicated_camera,Nikon,D500,,main,,23.5,15.7,28.262,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d5000,dedicated_camera,Nikon,D5000,,main,,23.6,15.8,28.4007,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d5100,dedicated_camera,Nikon,D5100,,main,,23.6,15.6,28.2899,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d5200,dedicated_camera,Nikon,D5200,,main,,23.5,15.6,28.2066,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d5300,dedicated_camera,Nikon,D5300,,main,,23.5,15.6,28.2066,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d5500,dedicated_camera,Nikon,D5500,,main,,23.5,15.6,28.2066,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d5600,dedicated_camera,Nikon,D5600,,main,,23.5,15.6,28.2066,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d60,dedicated_camera,Nikon,D60,,main,,23.6,15.8,28.4007,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d600,dedicated_camera,Nikon,D600,,main,,35.9,24.0,43.1834,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d610,dedicated_camera,Nikon,D610,,main,,35.9,24.0,43.1834,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d70,dedicated_camera,Nikon,D70,,main,,23.7,15.6,28.3734,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d700,dedicated_camera,Nikon,D700,,main,,36.0,23.9,43.2112,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d7000,dedicated_camera,Nikon,D7000,,main,,23.6,15.6,28.2899,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d70s,dedicated_camera,Nikon,D70s,,main,,23.7,15.6,28.3734,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d7100,dedicated_camera,Nikon,D7100,,main,,23.5,15.6,28.2066,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d7200,dedicated_camera,Nikon,D7200,,main,,23.5,15.6,28.2066,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d750,dedicated_camera,Nikon,D750,,main,,35.9,24.0,43.1834,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d7500,dedicated_camera,Nikon,D7500,,main,,23.5,15.6,28.2066,,published,A,verified,yes,confirmed,primary_source_verified,Nikon specifications,https://www.nikonusa.com/p/d7500/1582/overview,Use automatically.,,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P3_verified_or_secondary,,,ship
nikon_d780,dedicated_camera,Nikon,D780,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d80,dedicated_camera,Nikon,D80,,main,,23.6,15.8,28.4007,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d800,dedicated_camera,Nikon,D800,,main,,35.9,24.0,43.1834,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d800e,dedicated_camera,Nikon,D800e,,main,,35.9,24.0,43.1834,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d810,dedicated_camera,Nikon,D810,,main,,35.9,24.0,43.1834,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_d850,dedicated_camera,Nikon,D850,,main,,35.9,23.9,43.1279,,published,A,verified,yes,confirmed,primary_source_verified,Nikon specifications,https://www.nikonusa.com/p/d850/1585/overview,Use automatically.,,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P3_verified_or_secondary,,,ship
nikon_d90,dedicated_camera,Nikon,D90,,main,,23.6,15.8,28.4007,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_df,dedicated_camera,Nikon,Df,,main,,36.0,23.9,43.2112,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z_f,dedicated_camera,Nikon,Z f,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z_fc,dedicated_camera,Nikon,Z fc,,main,,23.5,15.7,28.262,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z30,dedicated_camera,Nikon,Z30,,main,,23.5,15.7,28.262,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z5,dedicated_camera,Nikon,Z5,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z5_ii,dedicated_camera,Nikon,Z5 II,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z50,dedicated_camera,Nikon,Z50,,main,,23.5,15.7,28.262,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z50_ii,dedicated_camera,Nikon,Z50 II,,main,,23.5,15.7,28.262,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z6,dedicated_camera,Nikon,Z6,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z6_ii,dedicated_camera,Nikon,Z6 II,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z6_iii,dedicated_camera,Nikon,Z6 III,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z7,dedicated_camera,Nikon,Z7,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z7_ii,dedicated_camera,Nikon,Z7 II,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z8,dedicated_camera,Nikon,Z8,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_z9,dedicated_camera,Nikon,Z9,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
nikon_zr,dedicated_camera,Nikon,ZR,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Nikon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
olympus_om_system_om_1,dedicated_camera,Olympus / OM System,OM-1,,main,,17.4,13.0,21.72,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,OM System specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
olympus_om_system_om_1_mark_ii,dedicated_camera,Olympus / OM System,OM-1 Mark II,,main,,17.4,13.0,21.72,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,OM System specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
olympus_om_system_om_d_e_m1,dedicated_camera,Olympus / OM System,OM-D E-M1,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Olympus specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
olympus_om_system_om_d_e_m1_mark_ii,dedicated_camera,Olympus / OM System,OM-D E-M1 Mark II,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Olympus specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
olympus_om_system_om_d_e_m1_mark_iii,dedicated_camera,Olympus / OM System,OM-D E-M1 Mark III,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Olympus specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
olympus_om_system_om_d_e_m1x,dedicated_camera,Olympus / OM System,OM-D E-M1X,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Olympus specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
olympus_om_system_om_d_e_m5_mark_ii,dedicated_camera,Olympus / OM System,OM-D E-M5 Mark II,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Olympus specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_g9,dedicated_camera,Panasonic,Lumix DC-G9,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_g9_ii,dedicated_camera,Panasonic,Lumix DC-G9 II,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_gh5,dedicated_camera,Panasonic,Lumix DC-GH5,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_gh5m2,dedicated_camera,Panasonic,Lumix DC-GH5M2,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_gh5s,dedicated_camera,Panasonic,Lumix DC-GH5S,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_gh6,dedicated_camera,Panasonic,Lumix DC-GH6,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_gh7,dedicated_camera,Panasonic,Lumix DC-GH7,,main,,17.3,13.0,21.64,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_s1,dedicated_camera,Panasonic,Lumix DC-S1,,main,,35.6,23.8,42.8229,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_s1h,dedicated_camera,Panasonic,Lumix DC-S1H,,main,,35.6,23.8,42.8229,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_s1r,dedicated_camera,Panasonic,Lumix DC-S1R,,main,,35.6,23.8,42.8229,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_s5,dedicated_camera,Panasonic,Lumix DC-S5,,main,,35.6,23.8,42.8229,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_s5m2,dedicated_camera,Panasonic,Lumix DC-S5M2,,main,,35.6,23.8,42.8229,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_s5m2x,dedicated_camera,Panasonic,Lumix DC-S5M2X,,main,,35.6,23.8,42.8229,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
panasonic_lumix_dc_s9,dedicated_camera,Panasonic,Lumix DC-S9,,main,,35.6,23.8,42.8229,,published,C,good_reference,yes,confirmed,compiled_spec_value,Panasonic specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
